ABSTIMMUNGSTAG,STAT_VORLAGE_ID,VORLAGE_KURZBEZ,VORLAGE_LANGBEZ,VORLAGENART,ABSTIMMUNGSART_BEZ,JA_ANTEIL_PROZENT,STIMMBETEILIGUNG,JA_STIMMEN,NEIN_STIMMEN,EINGELEGTE_STIMMEN,GÜLTIGE_STIMMEN,UNGÜLTIGE_STIMMEN,LEERE_STIMMEN,ANNEHMENDE_GEBIETE,ABLEHNENDE_GEBIETE,URL_VOLKSABSTIMMUNG,URL_ZEITUNG,URL_AMTSBLATT
"10.03.1831",800,"Kantonsverfassung","Kantonsverfassung","Obligatorisches Referendum","kantonal",95.92,79.2,40503,1721,42274,42224,50,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18310310_Volksabstimmung.pdf",,
"04.02.1838",801,"Mandatsverteilung zwischen Stadt und Landschaft bei den Grosssratswahlen","Mandatsverteilung zwischen Stadt und Landschaft bei den Grosssratswahlen","Obligatorisches Referendum","kantonal",81.92,33.87,15307,3379,18686,18686,0,0,140,20,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18380204_Volksabstimmung.pdf",,
"16.08.1840",802,"Mitgliederzahl des Regierungsrates und des Obergerichts","Mitgliederzahl des Regierungsrates und des Obergerichts","Obligatorisches Referendum","kantonal",71.56,33.9,11943,4747,16690,16690,0,0,116,40,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18400816_Volksabstimmung.pdf",,
"16.08.1840",804,"Vermehrung der Grossratswahlkreise","Vermehrung der Grossratswahlkreise","Obligatorisches Referendum","kantonal",76.72,31.54,11914,3615,15527,15529,0,0,131,25,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18400816_Volksabstimmung.pdf",,
"16.08.1840",803,"Einführung von Ordnungs- u. Polizeistrafen","Einführung von Ordnungs- u. Polizeistrafen","Obligatorisches Referendum","kantonal",52.29,33.69,8673,7914,16587,16587,0,0,78,78,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18400816_Volksabstimmung.pdf",,
"06.06.1848",397,"Totalrevision vom 12. September 1848","Totalrevision vom 12. September 1848","Obligatorisches Referendum","eidgenössisch",90.89,0,25119,2517,0,27636,0,0,,,,,
"18.11.1849",805,"Organisation von Regierungs-: Kirchen- und Erziehungsrat","Organisation von Regierungs-: Kirchen- und Erziehungsrat","Obligatorisches Referendum","kantonal",89.69,17.46,9322,1071,10393,10393,0,0,164,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18491118_Volksabstimmung.pdf",,
"18.11.1849",807,"Eidg. Volkszählung als Grundlage für die Mandatsverteilung (bei den Grossratswahlen)","Eidg. Volkszählung als Grundlage für die Mandatsverteilung (bei den Grossratswahlen)","Obligatorisches Referendum","kantonal",91.86,17.1,9350,828,10178,10178,0,0,164,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18491118_Volksabstimmung.pdf",,
"18.11.1849",806,"Wahl der Pfarrer und Lehrer durch die Gemeinden","Wahl der Pfarrer und Lehrer durch die Gemeinden","Obligatorisches Referendum","kantonal",91.7,17.78,9706,878,10584,10584,0,0,162,3,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18491118_Volksabstimmung.pdf",,
"23.11.1851",808,"Einführung des Schwurgerichts","Einführung des Schwurgerichts","Obligatorisches Referendum","kantonal",81.85,15.03,7554,1675,9229,9229,0,0,151,13,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18511123_Volksabstimmung.pdf",,
"15.10.1865",809,"Organisation der Gemeindebehörden (Vertretung der Niedergelassenen)","Organisation der Gemeindebehörden (Vertretung der Niedergelassenen)","Obligatorisches Referendum","kantonal",88.54,31.76,17614,2280,20094,19894,200,0,146,9,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"15.10.1865",810,"Einführung von Handels- und Gewerbegerichten","Einführung von Handels- und Gewerbegerichten","Obligatorisches Referendum","kantonal",51.73,31.76,10229,9546,20094,19775,319,0,72,83,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"15.10.1865",811,"Aufhebung der Kreisgerichte","Aufhebung der Kreisgerichte","Obligatorisches Referendum","kantonal",88.77,31.76,17632,2230,20094,19862,233,0,151,4,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"15.10.1865",815,"Verschied. kleine Verfassungsänderungen","Verschied. kleine Verfassungsänderungen","Obligatorisches Referendum","kantonal",90.2,31.76,17663,1919,20094,19582,512,0,150,5,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"15.10.1865",813,"Direkte Wahl der Bezirksbehörden durch das Volk","Direkte Wahl der Bezirksbehörden durch das Volk","Obligatorisches Referendum","kantonal",90.01,31.76,17882,1985,20094,19867,227,0,153,2,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"15.10.1865",814,"Handels- und Gewerbefreiheit (Metzgen und Tavernen)","Handels- und Gewerbefreiheit (Metzgen und Tavernen)","Obligatorisches Referendum","kantonal",86.87,31.76,17270,2611,20094,19881,213,0,146,9,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"15.10.1865",812,"Einführung der Volksinitiative für Verfassungsrevisionen","Einführung der Volksinitiative für Verfassungsrevisionen","Obligatorisches Referendum","kantonal",92.32,31.76,18320,1523,20094,19843,251,0,153,2,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18651015_Volksabstimmung.pdf",,
"14.01.1866",401,"Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen","Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen","Obligatorisches Referendum","eidgenössisch",93.2,0,27538,2010,0,29548,0,0,,,,,
"14.01.1866",402,"Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten","Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten","Obligatorisches Referendum","eidgenössisch",92.79,0,27567,2143,0,29710,0,0,,,,,
"14.01.1866",403,"Glaubens- und Kultusfreiheit","Glaubens- und Kultusfreiheit","Obligatorisches Referendum","eidgenössisch",91.31,0,27077,2576,0,29653,0,0,,,,,
"14.01.1866",404,"Ausschliessung einzelner Strafarten","Ausschliessung einzelner Strafarten","Obligatorisches Referendum","eidgenössisch",84.97,0,25125,4445,0,29570,0,0,,,,,
"14.01.1866",400,"Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten","Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten","Obligatorisches Referendum","eidgenössisch",95.12,0,28268,1450,0,29718,0,0,,,,,
"14.01.1866",406,"Verbot der Lotterie und Hasardspiele","Verbot der Lotterie und Hasardspiele","Obligatorisches Referendum","eidgenössisch",92.71,0,27391,2153,0,29544,0,0,,,,,
"14.01.1866",398,"Festsetzung von Mass und Gewicht","Festsetzung von Mass und Gewicht","Obligatorisches Referendum","eidgenössisch",91.4,0,26742,2515,0,29257,0,0,,,,,
"14.01.1866",399,"Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung","Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung","Obligatorisches Referendum","eidgenössisch",93.68,0,27808,1875,0,29683,0,0,,,,,
"14.01.1866",405,"Schutz des geistigen Eigentums","Schutz des geistigen Eigentums","Obligatorisches Referendum","eidgenössisch",92.94,0,27429,2085,0,29514,0,0,,,,,
"26.01.1868",816,"Revision der Kantonsverfassung","Revision der Kantonsverfassung","Obligatorisches Referendum","kantonal",87.32,90.46,50786,7374,59125,58160,965,0,163,2,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18680126_Volksabstimmung.pdf",,
"26.01.1868",818,"Revision durch einen Verfassungsrat","Revision durch einen Verfassungsrat","Obligatorisches Referendum","kantonal",82.63,90.46,47864,10060,59125,57924,1201,0,163,2,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18680126_Volksabstimmung.pdf",,
"26.01.1868",817,"Revision durch den Grossen Rat","Revision durch den Grossen Rat","Obligatorisches Referendum","kantonal",17.37,90.46,10060,47864,59125,57924,1201,0,2,163,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18680126_Volksabstimmung.pdf",,
"18.04.1869",819,"Kantonsverfassung","Kantonsverfassung","Obligatorisches Referendum","kantonal",61.18,90.88,35184,22323,58575,57507,1048,0,112,52,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18690418_Volksabstimmung.pdf",,
"07.11.1869",823,"Wahl und Entlassung der öffentlichen Beamten und Angestellten","Wahl und Entlassung der öffentlichen Beamten und Angestellten","Obligatorisches Referendum","kantonal",77.59,80.9,38600,11151,53023,49751,0,3272,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18691107_Volksabstimmung.pdf",,
"07.11.1869",822,"Zürcher Kantonalbank (Gründung)","Zürcher Kantonalbank (Gründung)","Obligatorisches Referendum","kantonal",85.84,70.2,37157,6129,45986,43286,0,2700,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18691107_Volksabstimmung.pdf",,
"07.11.1869",820,"Ausrüstung der Wehrpflichtigen","Ausrüstung der Wehrpflichtigen","Obligatorisches Referendum","kantonal",90.41,73.3,41472,4401,48001,45873,0,2128,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18691107_Volksabstimmung.pdf",,
"07.11.1869",821,"Salzregal","Salzregal","Obligatorisches Referendum","kantonal",83.25,77.2,40484,8144,50597,48628,0,1969,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18691107_Volksabstimmung.pdf",,
"20.02.1870",824,"Ausgabe von Banknoten","Ausgabe von Banknoten","Obligatorisches Referendum","kantonal",78.16,77.7,39917,11151,51068,51068,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700220_Volksabstimmung.pdf",,
"20.02.1870",827,"Daraus: Inventarisation in allen Todesfällen","Daraus: Inventarisation in allen Todesfällen","Obligatorisches Referendum","kantonal",49.35,76.2,24702,25352,50054,50054,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700220_Volksabstimmung.pdf",,
"20.02.1870",826,"Gesetz über die Vermögens-: Einkommens- und Aktivbürgersteuer  ","Gesetz über die Vermögens-: Einkommens- und Aktivbürgersteuer  ","Obligatorisches Referendum","kantonal",60.9,78.5,31397,20162,51559,51559,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700220_Volksabstimmung.pdf",,
"20.02.1870",825,"Ersatz des Schulgeldes an die Gemeinden","Ersatz des Schulgeldes an die Gemeinden","Obligatorisches Referendum","kantonal",72.21,78.6,37317,14358,51675,51675,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700220_Volksabstimmung.pdf",,
"20.02.1870",828,"Gesetz über die Erbschaftssteuer","Gesetz über die Erbschaftssteuer","Obligatorisches Referendum","kantonal",57.44,77.5,29256,21674,50930,50930,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700220_Volksabstimmung.pdf",,
"24.04.1870",831,"Gesetz über die Vermögens-: Einkommens und Aktivbürgersteuer","Gesetz über die Vermögens-: Einkommens und Aktivbürgersteuer","Obligatorisches Referendum","kantonal",53.53,68.5,23934,20781,44715,44715,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700424_Volksabstimmung.pdf",,
"24.04.1870",830,"Geschäftsordnung des Kantonsrates","Geschäftsordnung des Kantonsrates","Obligatorisches Referendum","kantonal",63.74,66.5,27674,15742,43416,43416,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700424_Volksabstimmung.pdf",,
"24.04.1870",829,"Arbeitszeit in den Fabriken und Schutz der Kinder","Arbeitszeit in den Fabriken und Schutz der Kinder","Obligatorisches Referendum","kantonal",40.3,69.2,18216,26983,45199,45199,0,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700424_Volksabstimmung.pdf",,
"22.05.1870",832,"Beteiligung an der Gotthardbahn","Beteiligung an der Gotthardbahn","Obligatorisches Referendum","kantonal",66.34,74.7,30271,15361,48780,45632,0,3148,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18700522_Volksabstimmung.pdf",,
"08.01.1871",833,"Konkordat über Massnahmen zur Vertilgung der Maikäfer","Konkordat über Massnahmen zur Vertilgung der Maikäfer","Obligatorisches Referendum","kantonal",89.7,68.02,32536,3738,44467,36274,123,8070,166,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Amtsblatt.pdf"
"08.01.1871",834,"Kantonales Strafgesetzbuch","Kantonales Strafgesetzbuch","Obligatorisches Referendum","kantonal",87.65,68.02,31339,4414,44467,35753,129,8585,165,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Amtsblatt.pdf"
"08.01.1871",835,"Vollzug der Freiheitsstrafen in der kantonalen Strafanstalt","Vollzug der Freiheitsstrafen in der kantonalen Strafanstalt","Obligatorisches Referendum","kantonal",84.72,68.02,30365,5477,44467,35842,150,8800,165,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Amtsblatt.pdf"
"08.01.1871",836,"Gesetz über das Strassenwesen","Gesetz über das Strassenwesen","Obligatorisches Referendum","kantonal",87.43,68.02,31876,4584,44467,36460,108,7893,165,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710108_Amtsblatt.pdf"
"25.06.1871",837,"Organisation und Geschäftsordnung des Regierungsrates und seiner Direktionen","Organisation und Geschäftsordnung des Regierungsrates und seiner Direktionen","Obligatorisches Referendum","kantonal",83.76,66.17,26269,5093,42937,31362,200,11375,166,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710625_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710625_Amtsblatt.pdf"
"25.06.1871",839,"Rückkehr zum frühern Steuertaxationsverfahren","Rückkehr zum frühern Steuertaxationsverfahren","Obligatorisches Referendum","kantonal",44.46,66.17,15060,18814,42937,33874,136,8927,57,109,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710625_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710625_Amtsblatt.pdf"
"25.06.1871",838,"Bau einer neuen Frauenklinik","Bau einer neuen Frauenklinik","Obligatorisches Referendum","kantonal",65.13,66.17,21982,11767,42937,33749,132,9056,127,39,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710625_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18710625_Amtsblatt.pdf"
"29.10.1871",840,"Gesetz über die Schuldbetreibung","Gesetz über die Schuldbetreibung","Obligatorisches Referendum","kantonal",54.66,70.1,21316,17681,45754,38997,134,6623,105,61,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18711029_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18711029_Amtsblatt.pdf"
"29.10.1871",841,"Gesetz über das Konkursverfahren","Gesetz über das Konkursverfahren","Obligatorisches Referendum","kantonal",52.27,70.1,20343,18579,45754,38922,134,6698,101,65,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18711029_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18711029_Amtsblatt.pdf"
"14.04.1872",846,"Erhöhung der Stundenzahl","Erhöhung der Stundenzahl","Obligatorisches Referendum","kantonal",24.44,88.1,13736,42467,58398,56203,0,2195,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"14.04.1872",847,"Obligatorische Stimmabgabe bei Wahlen und Abstimmungen","Obligatorische Stimmabgabe bei Wahlen und Abstimmungen","Volksinitiative","kantonal",46.78,88,23872,27161,58362,51033,0,7329,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"14.04.1872",2112,"Aufhebung des Lehrerseminars","Aufhebung des Lehrerseminars","Obligatorisches Referendum","kantonal",23.16,88.1,13035,43240,58387,56275,0,2112,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"14.04.1872",845,"Gesetz über das gesamte Unterrichtswesen","Gesetz über das gesamte Unterrichtswesen","Obligatorisches Referendum","kantonal",28.77,88,16242,40204,58386,56446,0,1940,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"14.04.1872",842,"Staatsbeteiligung an Eisenbahnen","Staatsbeteiligung an Eisenbahnen","Obligatorisches Referendum","kantonal",52.48,88.1,25822,23384,58456,49206,0,9194,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"14.04.1872",843,"Einteilung des Kantons in Bezirke: Wahlkreise und politische Gemeinden","Einteilung des Kantons in Bezirke: Wahlkreise und politische Gemeinden","Obligatorisches Referendum","kantonal",71.15,88,36224,14689,58363,50913,0,7450,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"14.04.1872",844,"Gesetz über die Benutzung der Gewässer und das Wasserbauwesen","Gesetz über die Benutzung der Gewässer und das Wasserbauwesen","Obligatorisches Referendum","kantonal",69.07,88,34858,15613,58353,50471,0,7882,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18720414_Amtsblatt.pdf"
"12.05.1872",407,"Totalrevision","Totalrevision","Obligatorisches Referendum","eidgenössisch",81.3,0,49830,11463,0,61293,0,0,,,,,
"27.10.1872",848,"Abänderung des Kantonalbankgesetzes","Abänderung des Kantonalbankgesetzes","Obligatorisches Referendum","kantonal",84.98,73.48,33007,5833,47972,38840,121,9008,167,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18721027_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18721027_Amtsblatt.pdf"
"22.12.1872",850,"Aufhebung des Schulgeldes an der Sekundarschule usw.","Aufhebung des Schulgeldes an der Sekundarschule usw.","Obligatorisches Referendum","kantonal",68.9,71.87,29165,13162,47606,42327,64,5274,150,17,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18721222_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18721222_Amtsblatt.pdf"
"22.12.1872",849,"Besoldungen der Volksschullehrer","Besoldungen der Volksschullehrer","Obligatorisches Referendum","kantonal",67.39,71.87,28876,13975,47606,42851,92,4663,144,23,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18721222_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18721222_Amtsblatt.pdf"
"18.05.1873",851,"Bau einer neuen Kaserne","Bau einer neuen Kaserne","Obligatorisches Referendum","kantonal",91.25,74.52,38718,3713,49236,42431,47,6758,167,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Amtsblatt.pdf"
"18.05.1873",852,"Gesetz über die Aufnahme von Studierenden an der Hochschule","Gesetz über die Aufnahme von Studierenden an der Hochschule","Obligatorisches Referendum","kantonal",72.1,74.52,27548,10661,49236,38209,80,10947,155,12,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Amtsblatt.pdf"
"18.05.1873",853,"Technikum Winterthur (Gründung)","Technikum Winterthur (Gründung)","Obligatorisches Referendum","kantonal",66.74,74.52,25732,12825,49236,38557,77,10602,139,28,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Amtsblatt.pdf"
"18.05.1873",854,"Besoldungen und Staatsgebühren","Besoldungen und Staatsgebühren","Obligatorisches Referendum","kantonal",40.65,74.52,16313,23817,49236,40130,84,9022,27,140,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18730518_Amtsblatt.pdf"
"14.12.1873",855,"Abänderung des Gesetzes über das Kirchenwesen","Abänderung des Gesetzes über das Kirchenwesen","Obligatorisches Referendum","kantonal",56.07,68.52,20598,16136,44878,36734,35,8109,109,58,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18731214_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18731214_Amtsblatt.pdf"
"14.12.1873",856,"Notariatskreise: Amtsstellung der Notare: Notariatsgebühren","Notariatskreise: Amtsstellung der Notare: Notariatsgebühren","Obligatorisches Referendum","kantonal",51.23,68.52,19127,18207,44878,37334,51,7493,85,82,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18731214_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18731214_Amtsblatt.pdf"
"14.12.1873",857,"Besoldungen und Staatsgebühren","Besoldungen und Staatsgebühren","Obligatorisches Referendum","kantonal",39.31,68.52,14632,22587,44878,37219,54,7605,33,134,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18731214_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18731214_Amtsblatt.pdf"
"19.04.1874",408,"Totalrevision","Totalrevision","Obligatorisches Referendum","eidgenössisch",94.62,0,61779,3516,0,65295,0,0,,,,,
"14.06.1874",859,"Kant. Rechtspflegegesetz: I. und IV. Buch (Allgemeines: Besoldungen: Gebühren)","Kant. Rechtspflegegesetz: I. und IV. Buch (Allgemeines: Besoldungen: Gebühren)","Obligatorisches Referendum","kantonal",70.6,72.36,26319,10959,48201,37278,92,10831,154,13,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18740614_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18740614_Amtsblatt.pdf"
"14.06.1874",858,"Errichtung staatl. Korrektionsanstalten","Errichtung staatl. Korrektionsanstalten","Volksinitiative","kantonal",50.34,72.36,19967,19696,48201,39663,152,8386,90,77,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18740614_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18740614_Amtsblatt.pdf"
"29.11.1874",862,"Kant. Rechtspflegegesetz: II. u. III. Buch (Zivil- und Strafprozessordnung)","Kant. Rechtspflegegesetz: II. u. III. Buch (Zivil- und Strafprozessordnung)","Obligatorisches Referendum","kantonal",70.44,67.11,23227,9748,44654,32975,79,11592,158,9,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18741129_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18741129_Amtsblatt.pdf"
"29.11.1874",861,"Erhöhung der Entschädigung an die Bezirkshauptorte","Erhöhung der Entschädigung an die Bezirkshauptorte","Obligatorisches Referendum","kantonal",55.76,67.11,18852,14955,44654,33807,73,10774,75,92,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18741129_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18741129_Amtsblatt.pdf"
"29.11.1874",860,"Organisation der kantonalen Kranken- und Versorgungsanstalten","Organisation der kantonalen Kranken- und Versorgungsanstalten","Obligatorisches Referendum","kantonal",84.15,67.11,28786,5423,44654,34209,59,10386,167,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18741129_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18741129_Amtsblatt.pdf"
"23.05.1875",409,"Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe","Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe","Fakultatives Referendum","eidgenössisch",76.22,0,41867,13062,0,54929,0,0,,,,,
"23.05.1875",410,"Bundesgesez über die politische Stimmberechtigung der Schweizerbürger","Bundesgesez über die politische Stimmberechtigung der Schweizerbürger","Fakultatives Referendum","eidgenössisch",74.16,0,40312,14043,0,54355,0,0,,,,,
"27.06.1875",865,"Unentgeltliche Einbürgerung nach 10järigen Wohnsitz ","Unentgeltliche Einbürgerung nach 10järigen Wohnsitz ","Obligatorisches Referendum","kantonal",50.05,77.01,22719,22672,51788,45391,50,6347,42,125,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18750627_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18750627_Amtsblatt.pdf"
"27.06.1875",864,"Gesetz über das Gemeindewesen","Gesetz über das Gemeindewesen","Obligatorisches Referendum","kantonal",53.78,77.01,23334,20057,51788,43391,46,8351,91,76,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18750627_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18750627_Amtsblatt.pdf"
"27.06.1875",866,"Besteuerung des Einkommens für Gemeindezwecke","Besteuerung des Einkommens für Gemeindezwecke","Obligatorisches Referendum","kantonal",36.21,77.01,16217,28571,51788,44788,53,6947,19,148,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18750627_Volksabstimmung.pdf",,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18750627_Amtsblatt.pdf"
