ABSTIMMUNGSTAG,STAT_VORLAGE_ID,VORLAGE_KURZBEZ,VORLAGE_LANGBEZ,VORLAGENART,ABSTIMMUNGSART_BEZ,JA_ANTEIL_PROZENT,STIMMBETEILIGUNG,JA_STIMMEN,NEIN_STIMMEN,EINGELEGTE_STIMMEN,GÜLTIGE_STIMMEN,UNGÜLTIGE_STIMMEN,LEERE_STIMMEN,ANNEHMENDE_GEBIETE,ABLEHNENDE_GEBIETE,URL_VOLKSABSTIMMUNG,URL_ZEITUNG,URL_AMTSBLATT
"30.06.1974",1613,"Volksinitiative betreffend Änderung des Gesetzes über die direkten Steuern (Reichtumssteuer)","Volksinitiative betreffend Änderung des Gesetzes über die direkten Steuern (Reichtumssteuer)","Volksinitiative","kantonal",26.05,45.38,75374,213959,298598,289333,60,9205,0,168,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740630_Volksabstimmung.pdf",,
"30.06.1974",1621,"Volksinitiative für ein Gesetz zur Erhaltung von Wohnraum in städtischen Gebieten","Volksinitiative für ein Gesetz zur Erhaltung von Wohnraum in städtischen Gebieten (Gegenvorschlag des Kantonsrates zu einem Gesetz über die Erhaltung von Wohnungen für Familien)","Volksinitiative mit Gegenvorschlag: Gegenvorschlag","kantonal",63.27,45.38,172960,100403,298598,273363,50,25185,166,2,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740630_Volksabstimmung.pdf",,
"30.06.1974",1617,"Volsinitiative zu einem Gesetz zur Bekämpfung der Jugendkriminalität","Volsinitiative zu einem Gesetz zur Bekämpfung der Jugendkriminalität","Volksinitiative","kantonal",52.6,44.98,143722,129525,295952,273247,79,22626,96,72,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740630_Volksabstimmung.pdf",,
"30.06.1974",1620,"Gegenvorschlag des Kantonsrates über die Änderung des Gesetzes über die direkten Steuern","Volksinitiative betreffend Änderung des Gesetzes über die direkten Steuern (Reichtumssteuer) Gegenvorschlag des Kantonsrates über die Änderung des Gesetzes über die direkten Steuern","Volksinitiative mit Gegenvorschlag: Gegenvorschlag","kantonal",68.46,45.38,194000,89386,298598,283386,48,15164,165,3,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740630_Volksabstimmung.pdf",,
"22.09.1974",1627,"Volksinitiative gegen das Expressstrassen-Y und für die Aufnahme der Südumfahrung Zürichs","Volksinitiative (Standesinitiative) gegen das Expressstrassen-Y und für die Aufnahme der Südumfahrung Zürichs ins Nationalstrassennetz","Volksinitiative","kantonal",42.42,38.11,101834,138225,251127,240059,118,10950,2,166,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740922_Volksabstimmung.pdf",,
"22.09.1974",1626,"Beschluss des Kantonsrates über einen Kredit für die Beteiligung des Kantons am Funknetz der EKZ","Beschluss des Kantonsrates über die Bewilligung eines Kredites für die Beteiligung des Kantons Zürich am Funknetz der EKZ (5:6 Mio.)","Obligatorisches Referendum","kantonal",39.65,37.86,91861,139847,249456,231708,51,17697,1,167,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740922_Volksabstimmung.pdf",,
"22.09.1974",1625,"Gesetz über das Salzregal und über den Beitritt des Kantons zur Vereinbarung über den Salzverkauf","Gesetz über das Salzregal und über den Beitritt des Kantons Zürichs zur Interkantonalen Vereinbarung über den Salzverkauf in der Schweiz (Salzgesetz)","Obligatorisches Referendum","kantonal",86.44,37.86,196444,30824,249456,227268,59,22129,167,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740922_Volksabstimmung.pdf",,
"22.09.1974",1624,"Verfassungsgesetz über die Periodische Festlegung des Steuerfusses","Verfassungsgesetz über die Änderung von Art. 31 der Staatsverfassung (Periodische Festlegung des Steuerfusses)","Obligatorisches Referendum","kantonal",68.54,37.86,151678,69613,249456,221291,46,28119,155,13,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740922_Volksabstimmung.pdf",,
"22.09.1974",1622,"Gesetz über die Zusatzleistungen zur eidg. Alters-: Hinterlassenen- und Invalidenversicherung","Änderung des Gesetzes über die Zusatzleistungen zur eidgenössischen Alters-: Hinterlassenen- und Invalidenversicherung","Obligatorisches Referendum","kantonal",83.11,38.11,197312,40089,251127,237401,34,13692,164,4,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740922_Volksabstimmung.pdf",,
"22.09.1974",1623,"Gegenvorschlag des Kantonsrates über eine Standesinitiative auf Erstellung der Expresstrassen I","Gegenvorschlag des Kantonsrates betreffend eine Standesinitiative auf Erstellung des unterirdischen Expresstrassen I unter vorläufigem Verzicht auf den Westast","Obligatorisches Referendum","kantonal",46.32,38.11,111124,128794,251127,239918,61,11148,74,94,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19740922_Volksabstimmung.pdf",,
